Record ID,Intake Date,Intake Channel,311 SR Number,Business Category,Complaint Code,Business Unique ID,Business Name,Result Date,Result,Referred To,Contract Cancelled Amount,Refund Amount,Address Type,Building Nbr,Street1,Street2,Street3,Unit Type,Apt/Suite,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Census Block (2010),Census Tract (2010),Latitude,Longitude,Standardized_Business_Name
024206-2023-CMPL,11/29/23,311,311-16753641,Specialized Vending License - MFV,Price Not Posted; Cashless Business,BA-1679398-2023,NYC Soft Ice Cream Truck owned by Eddie Cumart,1/5/24,Complaint Review Complete,,,,Complete Address,2,WATER ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3000078,3000350012,BK38,1005,21,40.70310051,-73.99418974,NYC Soft Ice Cream Truck owned by Eddie Cumart
024207-2023-CMPL,11/29/23,311,311-16753666,Specialized Vending License - MFV,Cashless Business,BA-1679399-2023,NYC Soft Ice Cream Truck owned by Eddie Cumart,1/5/24,Complaint Review Complete,,,,Cross Street (Intersection),,MAIN STREET,PLYMOUTH STREET,,,,,NY,11201,Brooklyn,302,33,,,,,21,40.70390724,-73.99066235,NYC Soft Ice Cream Truck owned by Eddie Cumart
024208-2023-CMPL,11/29/23,311,311-16753676,Specialized Vending License - MFV,Cashless Business,BA-1678629-2023,NYC Soft Ice Cream Truck owned by Eddie Cumart,1/5/24,Complaint Review Complete,,,,Complete Address,30,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3344163,3000270040,BK38,1010,21,40.70353111,-73.98956959,NYC Soft Ice Cream Truck owned by Eddie Cumart
024209-2023-CMPL,11/29/23,311,311-16753688,Specialized Vending License - MFV,Cashless Business,BA-1678797-2023,NYC Soft Ice Cream Truck owned by Eddie Cumart,1/5/24,Complaint Review Complete,,,,Complete Address,90,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3388734,3000457501,BK38,1008,21,40.70176349,-73.98968167,NYC Soft Ice Cream Truck owned by Eddie Cumart
023831-2023-CMPL,11/23/23,311,311-16691026,Specialized Vending License - MFV,Cashless Business,BA-1678629-2023,NYC Soft Ice Cream Truck owned by Eddie Cumart,1/5/24,Complaint Review Complete,,,,Complete Address,30,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3344163,3000270040,BK38,1010,21,40.70353111,-73.98956959,NYC Soft Ice Cream Truck owned by Eddie Cumart
023832-2023-CMPL,11/23/23,311,311-16691035,Specialized Vending License - MFV,Cashless Business,BA-1669507-2023,NYC Soft Ice Cream Trucks owned by Eddie Cumart,1/5/24,Complaint Review Complete,,,,Complete Address,90,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3388734,3000457501,BK38,1008,21,40.70176349,-73.98968167,NYC Soft Ice Cream Truck owned by Eddie Cumart
023744-2023-CMPL,11/22/23,311,311-16679788,Specialized Vending License - MFV,Cashless Business,BA-1678629-2023,NYC Soft Ice Cream Truck owned by Eddie Cumart,12/24/23,Complaint Review Complete,,,,Complete Address,30,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3344163,3000270040,BK38,1010,21,40.70353111,-73.98956959,NYC Soft Ice Cream Truck owned by Eddie Cumart
023662-2023-CMPL,11/21/23,311,311-16668234,Specialized Vending License - MFV,Cashless Business,BA-1678629-2023,NYC Soft Ice Cream Truck owned by Eddie Cumart,12/24/23,Complaint Review Complete,,,,Complete Address,30,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3344163,3000270040,BK38,1010,21,40.70353111,-73.98956959,NYC Soft Ice Cream Truck owned by Eddie Cumart
023663-2023-CMPL,11/21/23,311,311-16668245,Specialized Vending License - MFV,Price Not Posted,BA-1678797-2023,NYC Soft Ice Cream Truck owned by Eddie Cumart,12/24/23,Complaint Review Complete,,,,Complete Address,90,WASHINGTON ST,,,,,BROOKLYN,NY,11201,Brooklyn,302,33,3388734,3000457501,BK38,1008,21,40.70176349,-73.98968167,NYC Soft Ice Cream Truck owned by Eddie Cumart
023664-2023-CMPL,11/21/23,311,311-16668255,Specialized Vending License - MFV,Cashless Business,BA-1678798-2023,NYC Soft Ice Cream Truck owned by Eddie Cumart,12/24/23,Complaint Review Complete,,,,Cross Street (Intersection),,MAIN STREET,PLYMOUTH STREET,,,,,NY,11201,Brooklyn,302,33,,,,,21,40.70390724,-73.99066235,NYC Soft Ice Cream Truck owned by Eddie Cumart
